Municipio;Bairro;M+B;Lat;Long
FUNDAO;SÃO JOSÉ;SÃO JOSÉ - FUNDAO - ES - Brasil;;
IBIRACU;ARICANGA;ARICANGA - IBIRACU - ES - Brasil;;
GUARAPARI;SOL NASCENTE;SOL NASCENTE - GUARAPARI - ES - Brasil;;
COLATINA;PADRE JOSÉ DE ANCHIETA;PADRE JOSÉ DE ANCHIETA - COLATINA - ES - Brasil;;
COLATINA;SÃO SILVANO;SÃO SILVANO - COLATINA - ES - Brasil;;
COLATINA;SÃO VICENTE;SÃO VICENTE - COLATINA - ES - Brasil;;
SERRA;PARQUE RESIDENCIAL NOVA ALMEIDA;PARQUE RESIDENCIAL NOVA ALMEIDA - SERRA - ES - Brasil;;
RIO NOVO DO SUL;SÃO JOSÉ;SÃO JOSÉ - RIO NOVO DO SUL - ES - Brasil;;
SANTA LEOPOLDINA;MOXAFONGO;MOXAFONGO - SANTA LEOPOLDINA - ES - Brasil;;
SERRA;ENSEADA DE JACARAÍPE;ENSEADA DE JACARAÍPE - SERRA - ES - Brasil;;
SAO ROQUE DO CANAA;SÃO JACINTO;SÃO JACINTO - SAO ROQUE DO CANAA - ES - Brasil;;
ANCHIETA;PRAIA DE PARATI;PRAIA DE PARATI - ANCHIETA - ES - Brasil;;
ANCHIETA;IRIRI;IRIRI - ANCHIETA - ES - Brasil;;
ALEGRE;Não Encontrado;Não Encontrado - ALEGRE - ES - Brasil;;
